role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Parent,42,Male,Nagar Khas,Nagar,rarely,technology can greatly support the learning objectives of primary school in various ways,primary education can creat more effective learnng envirnoment through technology,"waste of time, mental illness",Yes,Yes,effective method is educationals apps and programs tailored to their academic needs,Yes,,No,No,"yes by playing games,problem skills and improvement",Yes,No,No,No,"laptop, screen an multimedia",,slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,38,Female,Aliabad,Hunza,several times a week,Students take more interest in learning when we use technology.,"Benefits of technology in primary school,socialization, improving communication, digital literacy skills.","Technical issues distruction , reduce face to face interaction.",Yes,No,We attent online classess on mobiles.,No,We learn new words from vedioes.,No,Yes,"Interactive educational apps,online cources, educational games to engage students.",Yes,No,Yes,No,"Improve collaboration prepare childern for the future, connect us with student.","Fast networks,3D printing.",extremely,No,Yes,Yes,Yes,Negative,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,weekly,,Technology is very benifical in pirmary education because it clear the cocepts. ,,Yes,Yes,The technology the way of my learning with the helps of computer and laptops etc. in curriculum with the help of content with engage it.,Yes,In my social skills good with the hepls of computer. We work on computer and gain knowledge ,Yes,Yes,"technology create critical thinking, creativity and problem solving in pirmary student",Yes,Yes,Yes,No,I think that online learning or use of internet is useful in class.,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,weekly,,Technology is very benifical in pirmary education because it clear the cocepts. ,,Yes,Yes,The technology the way of my learning with the helps of computer and laptops etc. in curriculum with the help of content with engage it.,Yes,In my social skills good with the hepls of computer. We work on computer and gain knowledge ,Yes,Yes,"technology create critical thinking, creativity and problem solving in pirmary student",Yes,Yes,Yes,No,I think that online learning or use of internet is useful in class.,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nilt nagar,Nagar,weekly,obviously technology is a best way of learning ,usings books in primary education,,No,No,NO,Yes,gap between family and work,Yes,Yes,,Yes,No,No,Yes,multimedia and light ,,very,Yes,Yes,No,Yes,Positive,Negative,Negative,Negative,Positive
Teacher,40,Female,Karimabad,Hunza,weekly,Technology can best support the learning objective in different angle. Teacher and students can learn the objective by different method.,Use different method for learning and teaching.,Student become used to visual activities.,Yes,No,We learn alot through technology and we do partical work.,Yes,Developed our speaking and reading skills.,Yes,No,Only lecture and lab is not enough area for learning using technology provide attraction toward learning,No,Yes,Yes,Yes,LMS system in classroom would benefit the classroom.,Attractive teaching and learning environment through technology.,moderately,Yes,Yes,Yes,Yes,Neutral,Positive,Positive,Positive,Negative
Teacher,36,Female,Karimabad,Hunza,several times a week,,Use of ICT enhance our skills related to digital work.This can be maximized by arranging time or period to attaine ICT classes.,Students become addict of screen and they loss to think and solve problems by themselves and totally dependent on ICT.,Yes,No,We study online,No,I am able to work for my school ICT team.,No,Yes,We used ICT to enhance skills of our children but in controlled manner or in specific time not in such a way that they use ICT and dependent on it.,No,Yes,Yes,Yes,Multimedia,Maybe their will be no schools.,extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,35,Male,Ghulmet nagar,Nagar,monthly,technology helps students and and give new ideas about learning,easy and fast learning,,Yes,Yes,because of different and easy path,Yes,technology change learning skill as well ,Yes,Yes,because of technology,Yes,Yes,Yes,Yes,internet issues,technology is very important in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Karimabad,Hunza,several times a week,,"It reduces both time and cost of teachers and more fun,interesting in primary education.","It can lead to distraction such as social media,online gaming,technical issues and budgets issues.",No,No,"It enables new way of learning ,communicating and working collaboratively.",No,"Non-verbal cues,such as body language facial expression and tone of voice are lost due to technology.",Yes,Yes,It helps in improve efficiency and reduce costs of production.,Yes,Yes,Yes,No,"E-books,smart board game learning and digital pads.",Development in new media and computing technologies in education.,moderately,Yes,No,Yes,No,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Nagar Khas,,several times a week,,,,Yes,No,,Yes,,Yes,Yes,,Yes,Yes,Yes,No,,,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,20,Female,Nagar Khas,Nagar,daily,tecnology can give space to explore and enhance ones knowledge,in this era its most important element ,,Yes,Yes,in several ways it has change,Yes,techonolgy has change our social skill in verbal form rather than practical participation,Yes,Yes,we can use technology to enhance learning,Yes,No,Yes,No,"projector, excel,are used",technology should used in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,35,Male,Ghulmet nagar,Nagar,monthly,technology helps students and and give new ideas about learning,easy and fast learning,,Yes,Yes,because of different and easy path,Yes,technology change learning skill as well ,Yes,Yes,because of technology,Yes,Yes,Yes,Yes,internet issues,technology is very important in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,34,Female,Nagar Khas,Nagar,daily,through technology students achieve all goals,,,No,No,,No,,No,No, N/A,No,Yes,Yes,Yes,,,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,20,Female,Nagar Khas,Nagar,weekly,technology  can give explanation and enhance access of knowledge,,,Yes,No,,Yes,technology changed our social skill in verbal form neither that to practice practically,Yes,Yes,we use technology in positive ways,Yes,No,Yes,No,"projector, excel,are used",technology should used in primary education,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,40,Female,Nagar Khas,Nagar,daily,,trained teachers related to IT is essentail in primary education,miss  use  of  technology is one of main challengies ,Yes,Yes,before we were depend on teacher but now we are depend on technology,Yes,"sometimes technology creates  social isolation, another problem is he or she adopated other culture",Yes,Yes,use learning Apps and band remaing unwanted applications to develop skill,Yes,Yes,No,Yes,Multimedia and computer and proper internet connection will  benefical,with the change of time technology should be improved,moderately,Yes,No,No,Yes,Positive,Negative,Positive,Negative,Negative
Teacher,41,Female,Aliabad,Hunza,several times a week,,"Digital work,time utilization by use of technological resources.","Electrical problem,time consuming,lack of resources .",Yes,Yes,"Technology has change a lot in our way of learning because we are using technology only to find out problems but we are not using our own mind.it is also very good,we can find out more diffical problem.",Yes,The potiental impact on our social skills and relationship is that we can improve our skills and we can communicate with our relative far form us but it is also making us far from our relatives.,Yes,Yes,,No,Yes,Yes,Yes,"Computer ,laptop and tablet.",It will fulfill the students dream,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,35,Female,Aliabad,Hunza,several times a week,It captures the intrest of students which results in effective learning.,"It enhances listing, reading, writing and speaking skills.","Interaption of internet, irrelevant data for young children , writing skills will be ignore ",Yes,No,Technology change the way we learn about thing. Technology make our works easy. Technology the way we think .,Yes,The technology impact is very easy to work quick. Technology do faster from us.,Yes,No,As primary studets are not much eligible to takle with technology for crtical thinking etc.,No,Yes,Yes,No,"Chrom books, referance books.","AI, tablets and chrom book .",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,30,Female,Karimabad,Hunza,weekly,,"Technology is very benefishery for pirmary beacues it reflect""learning by doing"". Time usage and easy way of learning",I can cause eye diseaes. Students work is slow. Student do not want to do their own work.,No,No,technology has change the way of learn and engage with curriculum content. Do not think and conginative domain are stop working,Yes,Technology disconnect the social skill and relationship.like mobile consumes more more time and the person do not like to eat and talk to second person.,No,Yes,Teach and aware all the skill first and than provide the resources all the above skills.,No,No,No,Yes,"individual laptops, internet service and LED for classroom",Totally lecture or classroom activities will finish and will teach online system and use online resources,moderately,Yes,Yes,No,Yes,Positive,Negative,Negative,Negative,Positive
Teacher,20,Female,Nagar Khas,Nagar,daily,tecnology can give space to explore and enhance ones knowledge,in this era its most important element ,,Yes,Yes,in several ways it has change,Yes,techonolgy has change our social skill in verbal form rather than practical participation,Yes,Yes,we can use technology to enhance learning,Yes,No,Yes,No,"projector, excel,are used",technology should used in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,the modern era of student are attract technology provide online learning plateform,lake of traning of teacher in school,lake of financial credit to manage technology,Yes,Yes,now a days we are totally depemd on technology to learn th lesson,Yes,use of technology issolated from relatives,No,Yes,technology increases learning skills communication and other IT knowledge ,No,Yes,Yes,No,in all primary schools their should be a computer lab,in future students will depend on technolgy due to its need,slightly,Yes,Yes,Yes,Yes,Positive,Positive,Negative,Negative,Positive
Teacher,30,Female,Aliabad,Hunza,several times a week,,"Time utilization, better understanding and comperhensive learning.",Electrical problem and lack of resources.,Yes,Yes,It has made easeirs to learn todays words.,Yes,,Yes,Yes,It can incrases digital lictearcy and it can enhance communication with other world.,No,Yes,Yes,Yes,Time management research development and simplying task.,"It can create increament reliance, can enhance digital grading systems.",moderately,Yes,Yes,No,No,Positive,Negative,Positive,Positive,Positive
Teacher,31,Male,Nagar Khas,Nagar,several times a week,"yes, Technology can best support the learning objective of primary students in this era of modern technology, without technology studennts cannot face daily life challenges",students become aware about technology at early stage,Government policies and financial challengies are hurdle for primary level,Yes,No,we can learn many things at school level,Yes,I am using technology for Freelancing and other skills.,Yes,Yes,Students try and apply whatever they learn at school,Yes,Yes,Yes,Yes,Improvement and advancement of technology,applying modern techniques,slightly,Yes,Yes,No,Yes,Negative,Negative,Positive,Positive,Negative
Student,17,Female,Jafarabad,Nagar,weekly,technology can help students to solve their problems,it enhnace learning,,Yes,No,it provide  us everything promptly,Yes,become part of our life day by day,Yes,Yes,technology needs us to develop critical thinking,Yes,Yes,Yes,Yes,LEDs and lectures are important ,,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,36,Female,Karimabad,Hunza,several times a week,,Use of ICT enhance our skills related to digital work.This can be maximized by arranging time or period to attaine ICT classes.,Students become addict of screen and they loss to think and solve problems by themselves and totally dependent on ICT.,Yes,No,We study online,No,I am able to work for my school ICT team.,No,Yes,We used ICT to enhance skills of our children but in controlled manner or in specific time not in such a way that they use ICT and dependent on it.,No,Yes,Yes,Yes,Multimedia,Maybe their will be no schools.,extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Student,17,Female,Jafarabad,Nagar,weekly,with the help of technology primary level of students can easily solve their problem and understand easily,usings books in primary education,"light issues, and internet",Yes,Yes,fast learning and no wastage of time,No,we can easily communicate with our relatives and friends,Yes,Yes,by enhancing much interest,Yes,Yes,Yes,Yes,LEDs and AI genertated tools,application of classes to advanced language,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Male,Nagar Khas,Nagar,several times a week,Due less  resources of technology,Internet connection and computer system should be install,unavability of  technology,Yes,No,provide wide range of knowledge related  to topic,Yes,better industries,No,Yes,by enhancing much interest,Yes,No,Yes,Yes,all possible aids,It could  be  fully independent,very,Yes,Yes,No,Yes,Negative,Positive,Positive,Positive,Positive
Teacher,40,Male,Rural ,Nagar,several times a week,"Technology can be used to build fundamental skills to prepare them for future independent learning
","Technology helps in hard work easier to do
","Equity issues and budget problem 
",Yes,Yes,"Technology changed the way of traditional learning and teachings 
",Yes,"Excessive use of technology can also foster a sense of isolation.
",Yes,Yes,"Technology provides the opportunity of providing 
personalized skills improvement ",Yes,No,Yes,No,"WiFi, internet access and building 
","Online grading system and students engagement 
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,41,Male,Aliabad,Hunza,several times a week,Educational technology is the need of time to make teaching learning process effectively.,Kids take attention and gets motivated to take part in the classroom activities an dlearn quickly as compare to traditional learning.,"Require accomplicement ,training,educational software, data bank,proper internet services ",Yes,No,It motivate us to know new ideas we can understand easly by using technology.,Yes,The technology enhance our skill using technology we can easly to study and understand things.,Yes,Yes,"All the above mentioned are focused in textbook,so we need only engage student in problem solving, thinking and so on.",Yes,Yes,Yes,Yes,"Smart board, multimedia,chrom books and LCDs.",,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,29,Male,Near Nagar chowk,Nagar,several times a week,Technology plays vital role in primary education ,"Learning easily through graphics 
","Students face difficulty in managing technology 
",No,No,"Totally depends on technology 
",Yes,"We can get information from communication 
",No,Yes,"Providence of proper IT tools and trainings
",Yes,Yes,No,No,"Proper computer Lab, Multimedia,and internet connection 
","Technology should improve in school
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,29,Female,Rural ,Nagar,several times a week,"Yes technology should be used in primary section it motivates children 
","Enhancement of knowledge 
","Language barrier,and lack of cooperation 
",Yes,No,"Technology provides easy platforms for us to understand better 
",Yes,"With the help of technology I improved my social skills 
",Yes,Yes,Learning by doing ,Yes,Yes,Yes,No,"Projector, WiFi system and proper electricity 
","Library and internet access 
",extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Male,Karimabad,Hunza,weekly,,benefits of using technology creat interst for lastest education. ,"Less internet access in our area, old IT technology ues in our country.",Yes,Yes,With the help enhacement curriculum and content and lesson plan,Yes,Social skill increase due to use more technology in our daily life. Give less time for social skills.,Yes,Yes,Researching lastest update curriculium slove technical problem solving to enhance critical thinking in student.,Yes,Yes,Yes,Yes,apply for pratcial life using lastest technology inchancment in technology ,Awarness technology from root level from pirmary education.,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,30,Female,Karimabad,Hunza,daily,,"Integration,real stories and interaction intellectual information.",social media can effectively involve if it is missed use.,Yes,No,It enhance our lesson activities.,Yes,Time limitation restuction.,Yes,Yes,It create critical thinking and develop a holistic approch by seeing the object from real life or daily life.,Yes,Yes,Yes,Yes,Integration labs are benefical for lesson.,Effective lesson design by the teacher using technology like LMS.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Student,17,Female,Jafarabad,Nagar,weekly,with the help of technology primary level of students can easily solve their problem and understand easily,usings books in primary education,"light issues, and internet",Yes,Yes,fast learning and no wastage of time,No,we can easily communicate with our relatives and friends,Yes,Yes,by enhancing much interest,Yes,Yes,Yes,Yes,LEDs and AI genertated tools,application of classes to advanced language,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Male,Rural ,Nagar ,weekly,"Students can easily understand from technology instead of teachings
","Skill development and awareness of technology 
",Socialization is disturbed ,Yes,No,"Yes I am totally depend on technology 
",Yes,"It has totally changed my social skills and effects on relationships 
",Yes,Yes,"Technology develops skills related to the students needs 
",Yes,Yes,Yes,No,"Computers and LED 
","Traditional teachings will be replaced by technology in Future this may be possible 
",moderately,Yes,No,Yes,Yes,Negative,Negative,Positive,Negative,Positive
Teacher,40,Male,Nagar Khas,Nagar,several times a week,Due less  resources of technology,Internet connection and computer system should be install,unavability of  technology,Yes,No,provide wide range of knowledge related  to topic,Yes,better industries,No,Yes,by enhancing much interest,Yes,No,Yes,Yes,all possible aids,It could  be  fully independent,very,Yes,Yes,No,Yes,Negative,Positive,Positive,Positive,Positive
Student,18,Female,Nagar Khas,Nagar,several times a week,"through technology primary students learn from vedios, practicals and colorful things",it is good for primary school because it prefer more practical,,Yes,Yes,it saves time and gives us more knowledge ,Yes,we can earn money through freelancing and we can contact with different websites for the pourpose of jobs,Yes,Yes,,Yes,Yes,Yes,No,,it will become disaster for students,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Jafarabad,Nagar,several times a week,technology is a best support to learning ,to gain the new knowledge and creativity,miss  use  of  technology is one of main challengies ,No,No,because its different and easy way,Yes,technology change learning skill as well ,Yes,No,a best user of technology can take the benefits of critical and skill based learning,Yes,Yes,Yes,Yes,LMS system can improve the learner,advanced learning can improve the overall learning of pupils,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,29,Male,Near Nagar chowk,Nagar,several times a week,Technology plays vital role in primary education ,"Learning easily through graphics 
","Students face difficulty in managing technology 
",No,No,"Totally depends on technology 
",Yes,"We can get information from communication 
",No,Yes,"Providence of proper IT tools and trainings
",Yes,Yes,No,No,"Proper computer Lab, Multimedia,and internet connection 
","Technology should improve in school
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,technology is a best for students,,,Yes,Yes,several ways technology was changed,Yes,,Yes,Yes,enhance problem solving capacity,Yes,No,No,Yes,practical and team work,,not at all,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,35,Male,Ghulmet nagar,Nagar,monthly,technology helps students and and give new ideas about learning,easy and fast learning,,Yes,Yes,because of different and easy path,Yes,technology change learning skill as well ,Yes,Yes,because of technology,Yes,Yes,Yes,Yes,internet issues,technology is very important in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,29,Female,Rural ,Nagar,daily,"Students learn better 
","It is beneficial for both teachers and students they can easily get information 

","Access to the relevant knowledge, 
support and students engagement ",No,No,"Technology enables new ways of learning 
",No,"Technology totally disturbs the social relationships 
",No,Yes,"Technology provides the platform where everyone can nourish their skills 
",No,No,Yes,No,"Library, Computer Lab and Multimedia 
","Specialized training for teachers in school 
",extremely,Yes,No,Yes,No,Positive,Positive,Positive,Negative,Positive
Teacher,40,Female,Nagar Khas,Nagar,rarely,technology can gives experiences and enhance ones knowledge,in this era its most important element ,,Yes,Yes,saveral ways technology has change,Yes,technology has changed our social skill partices,Yes,No,technology needs us to develop critical thinking,Yes,No,Yes,Yes,"projector, excel,are used",technology should used in primary education,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Negative
Student,17,Female,Nilt nagar,Nagar,monthly,technology allows to interactive learning through educational apps and other things,easy to learning,,Yes,Yes,"by providing interactive tools, online resources, and personalized learning experiences",Yes,technology can improve communication but may reduce face to face interaction,No,Yes,,Yes,Yes,Yes,Yes,"internet, LEDs",incorporating virtual technology and artificial intelligence tools in classroom are benefit,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,41,Female,Karimabad,Hunza,weekly,,Learn quickly lesson and student give much more importance to technology.,Enhance thinking skills and think on result enciendly.,Yes,Yes,No do not enhance the curriculum content and lose eye sight.,No,Technology disconnect the social skill and relationship.,No,No,Do not support the above mentioned skills.,No,No,No,No,Laptop and LCD,Student will totally divert toward the technology.,moderately,No,No,No,No,Positive,Positive,Negative,Negative,Negative
Teacher,30,Male,Jafarabad,Nagar,monthly,providing interactive and engaging learning experience,"enhanced engagement, experience and motivation",technical issues; managing hardware and software problems,Yes,Yes,,Yes,,Yes,No,"coding and robotic programs, maths and logic games, that encourage and support students",Yes,Yes,Yes,Yes,"virtual and augmented reality tools, mental health and wellness resources ",technology can create customized kearning materials,extremely,Yes,No,Yes,No,Positive,Negative,Positive,Positive,Positive
Teacher,29,Female,Karimabad,Hunza,several times a week,They can learn new staff.,Listening skill and speaking skill.,Due to weak signls we rae facing challenges.,Yes,No,We easy convey message through technology.,Yes,We are always in connect with the good relation.,Yes,Yes,When they watched educational vedioes.,No,Yes,Yes,No,LEDs in every class with internet .,"LED,computer ,electricity and digital classes.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Student,17,Male,Nagar Khas,Nagar,several times a week,it is quite useful it always help us in understanding content,the student learn from vedios,possibly thay can become mental illness,Yes,No,yes it provide different opportunities,Yes,it orovide lots of content we can learn many great things from that ,Yes,Yes,"well different platforms like IT, apps and games",Yes,Yes,Yes,Yes,multimedia and excel,well we should introduce it in every school,extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,weekly,Picture is more effective as camper to words.,"More imformative, saving of time, and more learning.","Electric problem, short time and lack of resources",Yes,No,It is easy to learn.,No,I am active and responsble to work or study online,No,Yes,Because technology is based on research and thesis.,Yes,Yes,Yes,No,"Internet, projecter to deliver lectures.","Time killer, depend on mobile and other sources and lazy.",moderately,Yes,Yes,No,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,33,Male,Karimabad,Hunza,weekly,Priovide learning objective easily and know the exact level primary classes.,Technology make the lesson attractive and motivate the student for learning.student can improve different skills through awarness and training it can be maximized.,"Power short fall,lack of internet facility and low percentage of budget allocation.",Yes,Yes,By using technology learn different teaching methods.Easy to cover curriculum by using technology.Students learn from different teachers all over the world.,Yes,Easily connect people of the world through technology.World become global village improve health care and nutrition system.Provide waste amount of information.,Yes,Yes,Through technology design different types of activities to develop as critical thinking creativities etc.,Yes,Yes,Yes,Yes,Provide easy access of technology to classroom and provide digital resource to classroom.,Technology enhance creative learning in primary education.,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,26,Female,Rural,Nagar,rarely,"We get many informative things from technology 
","We get information from technology which could be not present in content 
","Language, internet access, WiFi and teacher training 
",No,No,"Learning easily pick by students and we also use different teaching methods 
",Yes,"Negative impacts of technology on us and disturbs our mutual understanding 
",No,Yes,"Technology built self independent character in students 
",No,Yes,Yes,No,"WiFi, internet access, electricity and Library 
","In primary section their should be proper usage of technology and computers 
",not at all,Yes,No,Yes,Yes,Positive,Positive,Positive,Negative,Positive
Teacher,30,Female,Jafarabad,Nagar,several times a week,technology is a best support to learning ,to gain the new knowledge and creativity,miss  use  of  technology is one of main challengies ,No,No,because its different and easy way,Yes,technology change learning skill as well ,Yes,No,a best user of technology can take the benefits of critical and skill based learning,Yes,Yes,Yes,Yes,LMS system can improve the learner,advanced learning can improve the overall learning of pupils,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,42,Male,Nagar Khas,Nagar,rarely,technology can greatly support the learning objectives of primary school in various ways,primary education can creat more effective learnng envirnoment through technology,"waste of time, mental illness",Yes,Yes,effective method is educationals apps and programs tailored to their academic needs,Yes,,No,No,"yes by playing games,problem skills and improvement",Yes,No,No,No,"laptop, screen an multimedia",,slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Male,Nagar Khas,Nagar,weekly,"technology play crucial role to enhance student quick learning, it save time and money",play an important role and it has a lot of benefits in primary education ,managing computer in classroom ,No,No,students gradually forget their hand writing and spelling it also lost their learning by tongue oral,Yes,physically technology has issolated from society too much depend on technology causes of stress and depression,Yes,Yes,provide variety of ideas and thoughts on some topics,No,Yes,Yes,Yes,proper internet connection with computer and LEDs,with the passage of time technology will increase and developed,very,Yes,Yes,Yes,Yes,Positive,Positive,Negative,Negative,Positive
Student,17,Male,Nagar Khas,Nagar,several times a week,it is quite useful it always help us in understanding content,the student learn from vedios,possibly thay can become mental illness,Yes,No,yes it provide different opportunities,Yes,it orovide lots of content we can learn many great things from that ,Yes,Yes,"well different platforms like IT, apps and games",Yes,Yes,Yes,Yes,multimedia and excel,well we should introduce it in every school,extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Female,Rural ,Nagar ,several times a week,"Visual poems and many other educational programs 
","Technology using increase understandings
",Medical issues ,No,No,"Technology helps me in better understanding of the content 
",Yes,"Negative impacts on social relationships
",Yes,Yes,"Self based learning improves creativity 
",Yes,No,Yes,No,"Power point lectures and visual aids related to the content 
",,very,Yes,Yes,No,No,Positive,Negative,Positive,Negative,Positive
Teacher,40,Male,Nagar Khas,Nagar,several times a week,Due less  resources of technology,Internet connection and computer system should be install,unavability of  technology,Yes,No,provide wide range of knowledge related  to topic,Yes,better industries,No,Yes,by enhancing much interest,Yes,No,Yes,Yes,all possible aids,It could  be  fully independent,very,Yes,Yes,No,Yes,Negative,Positive,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,daily,,"Integration,real stories and interaction intellectual information.",social media can effectively involve if it is missed use.,Yes,No,It enhance our lesson activities.,Yes,Time limitation restuction.,Yes,Yes,It create critical thinking and develop a holistic approch by seeing the object from real life or daily life.,Yes,Yes,Yes,Yes,Integration labs are benefical for lesson.,Effective lesson design by the teacher using technology like LMS.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Rural ,Nagar,never,"Technology is not compulsory for primary section but it develops other skills 
","Technology facilitate teachers
 ","Electricity and building issues
 ",No,No,"Technology provides easiness in my learnings
",Yes,"I feel isolated because everyone is busy in technology 
",Yes,Yes,"Technology helps us to learn essential skills out of the curriculum 
",Yes,Yes,Yes,No,"Multimedia and Library 
","Curriculum should be change
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,41,Female,Karimabad,Hunza,weekly,,Learn quickly lesson and student give much more importance to technology.,Enhance thinking skills and think on result enciendly.,Yes,Yes,No do not enhance the curriculum content and lose eye sight.,No,Technology disconnect the social skill and relationship.,No,No,Do not support the above mentioned skills.,No,No,No,No,Laptop and LCD,Student will totally divert toward the technology.,moderately,No,No,No,No,Positive,Positive,Negative,Negative,Negative
Teacher,35,Male,Nagar Khas,Nagar,weekly,,It increases students interest in learning,Excessive use of technology may lead far from activities,Yes,Yes,,Yes,,No,Yes,It increases students focus through graphic contents ,No,Yes,Yes,Yes,Internet facilities and use of melti media in class,every class should be equip with new  technology,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nilt nagar,Nagar,several times a week,obviously technology is a best way of learning ,,,Yes,No,,Yes,,No,No,multimedia learning enviornment enable student to apply knowledge in real world contents,Yes,Yes,Yes,Yes,"internet, LEDs",it will be good in future and technology will be enhanced,moderately,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Karimabad,Hunza,weekly,,Lesson become more easier for students.,"Issue of power, lenhghty courses and content based examination system.",Yes,No,Technology have many change in our world e.g robots can work the human place.,Yes,Robots can alone on human place.it can ipact on our social skill.robots can perform individual task.,Yes,Yes,"Quizes avaible according to their lesson,activities design programm enhance critical thinking,creativity and problem solving.",Yes,Yes,Yes,Yes,"Learning management system ,google classroom.","As AI is replacing every profession  with passage of time,reducing theoritical and traditional approach enhance digital litracy like robotics at the primary level.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,,in this era its most important element ,,Yes,Yes,,Yes,,Yes,Yes,we can use technology to enhance learning,Yes,Yes,Yes,Yes,"projector, excel,are used",technology should used in primary education,slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,weekly,,Technology is very benifical in pirmary education because it clear the cocepts. ,,Yes,Yes,The technology the way of my learning with the helps of computer and laptops etc. in curriculum with the help of content with engage it.,Yes,In my social skills good with the hepls of computer. We work on computer and gain knowledge ,Yes,Yes,"technology create critical thinking, creativity and problem solving in pirmary student",Yes,Yes,Yes,No,I think that online learning or use of internet is useful in class.,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
